,address,eth_balance
10592,0x8dab212dcce14210507eb85fe6b8324d07fa88e0,580.64833242
10637,0x98a7856ad1b23acf4dc5c43619dd767cd048e5f0,575.79725569
10640,0xca2e5fdbc0d98e7892736d695eb1977d08fb989b,575.244011608911553046
10769,0xd706509912484d2468e3f0921833f45e255a101c,565.13557364
10891,0x6e498fd89fe52d6e7fc7ae764e0be07c960db41e,555.995
10938,0x782f050097de7ed3ad67fa53c303156664a55df2,551.787650955880146624
11063,0xf449e1fcff497afb163d87e33dfe641f6dee72ee,543.999181
11190,0xb7a1515069f54a5a92dd4ce68e9d43f3dca230e3,534.88568
11195,0xbaedf6f3b552c2e1ba9af876dd753dedaff4cf27,534.423046271909908747
11209,0x691398dec8fb3befd5f2a2738be400e8ce491d13,532.586168168317091055
11223,0x22392303a9e8ec91d189f9d62abb890685751556,531.8024156
11362,0xb4befc255bc1c0bd922ea0123e4f43fbe9c38547,522.466901382266030989
11434,0x0036289f041537bd953e5ca57ec3ec530dce2153,517.895734118279551347
11459,0x5439e9edb74e85e99c939ad7889792231739e380,516.373096755471489761
11538,0x74028fdfb6bbe58b5abce6a9c7202ffd200831ad,510.95
11571,0xc002160626ddae0154d279344910ac2e368c9ce1,509.038571649999995904
11576,0xb62913c638d17507ea1ae682f30a29214249a35d,508.849430955122889381
11650,0x3d37f111b537a428a5bf19222ca4346f40264264,504.998134525336591
11670,0x730e027cb61af2666a04a64f8009cebdcd583fb9,503.947286911264142292
11974,0xf2e72e98792e223f2d0756ef63d385088f378921,500.00048605
12028,0x83629e2072954bac280b452e1c0b55c3edbb01a4,500
12123,0x8eb51774af206b966b8909c45aa6722748802c0c,500
12382,0x6a3537fe44e3d7a43d2208870404711ee8cacfe6,492.210057167995017298
12419,0xeda75f48cdc922dbce5a4d63981cd29954c5b4ab,490.208959894331247
12761,0x8e817cf722b0305ad5d15c4ef07ea09069bbc783,472.190332959159589978
12765,0x015391e6ecaf776e9b4156109f61fcc2f72ab083,472
12853,0x89fad67634b649badeb883dae1cd102564d872e4,468
13383,0x8b784696bab90ccd89067286538c3532579eb41c,442.40120563
13429,0xe0b252514c530ac88b345c1aee0ee706cd3f3db7,440.129081273920695777
13679,0xd1cd59ee2eeab8695fcdafa7fe8a8e6e1349fda0,427.86961769
13923,0xaf05fee8e95119c69ea9bb8e8a9c418cb034f464,416.613289099
14028,0x1991a9402566189c2c674463b8ebf07df3dd2f53,411.784380677726
14125,0xa8722998a96b27134de2040729cc4ed22146ffe7,408.116490505397787623
14165,0xa1ac19585727250e8725192689c82621d3929edc,406.341754188665924821
14195,0x1f83ada0a586bca0dd2dd764b943827bbe6fcb46,405.310601674722383386
14440,0xfd22a4f02a93303e0fdfe0afbefaca11fc29ffa6,400.08759149
14595,0xa6902f2637d544eeb0bfd8765af5037c7e17dc3e,399.84854197
14757,0xf221c2a7d34c64324e89b7fced338a6085d82e71,394.164127165769023923
14975,0xab8dbb9600a0745651cd5edf9a22be86a9b7a7c7,386.21003105
15101,0x882249acdd6f2e0ed067e5c66a6667baa7386b38,381.840952179765354389
15329,0xc2c249f5dd6ef792d912f3414861f72d36c9a3bf,373.845272192
15588,0x628004f8c100914e7da2cb390925262d3a86c3a0,364.45342428
15591,0x373d267ee0422ec232e554042aa3d88b117d790e,364.362570276866901101
15604,0xea5596640e0e2a3fec07bcc0cf771ccc87c3af8a,364.04475407
15618,0x1d2d5c8e1e7bb0a29d311dd4ecbf89733cc8a455,363.668106929843716577
15658,0x2e3f121cfb56555f53646db239a701139b527014,362.040937
15664,0xfbb113a746df94cc83e2c942dd093c6f3d265f33,361.964037681996728567
15854,0xe587f426d7b50b7a458f04fa99c817b4865cafd8,355.80115799
15963,0x235e138a7e55958d087ebf09d45e46148af2596e,352.2492186485
16052,0x9d6bd795aec78d9df9c42a8dcaa83d1d822b963a,350.527378141
16096,0xffb3409b28f867fb873e13ed9c251385854a7871,350.0737
16117,0xfc4066d5705eb7f8a3950793134df9d56851bab8,350.007355473134254339
16290,0xff5e343aa7a5a65265d9f608ebd6ac92a685bb14,346.42616501430854812
16324,0xaab1090f9fd16b9f1af4c904a4be0d0da4fe1d29,345.4076
16421,0xe108aacba6b1fd40cc46600afd33905ac9c65d46,342.95775499996325
16459,0xae719d91f715ee3dfd00f1cb781dc9059f967cf8,342.091762655615073732
16562,0xfff1541058f49c9969d3d1ef083f46f815a2d563,339.997406263584353
16843,0x40fdece5e474637efa2c2f286211fde34ee52b89,332.618656398225559
16934,0xb26d084892ccdd9b57b99d938c02bfd2201e6180,330.263772698499026361
17106,0x7567a4581874d9b2ed806befd39e2926ba63e78a,326.207600268461888
17190,0x57698046f132b227c35b9a3efa5ec2401a39d39d,324.03326451713979675
17341,0x851b29cffee54cdfe4e916be9c29c4d523b60a92,320.612035171482704916
17362,0x12086593c83f7039bd5685f09c397e5cfb098bd5,320.171251657834445874
17569,0xb815b575ee744439a291c26bcf72423b52d039bb,315.930521215223648885
17686,0x4137fd033c0cf756087a0f11b6aead1e6d77530a,313.351664007777777777
