Name,Initial Distribution,Unpaid Bonus Factor,praisemaggedon,Final Distribution,Final Hours
proofoftom,0.00012202466443350183,1.0,0.0002537157448215503,0.0001852363830197651,1.8026117457915214
parsley_3d#3854,0.00012094489083235696,1.0,0.0002537157448215503,0.0001846749007471698,1.7971477299047178
hypereum,0.00011814053122222416,1.0,0.0002537157448215503,0.00018321663374990072,1.7829567314900228
wipabramson,0.0001181311639688143,1.0,0.0002537157448215503,0.00018321176277812757,1.782909330051987
jasselnorm,0.0001181311639688143,1.0,0.0002537157448215503,0.00018321176277812757,1.782909330051987
joeechidna,0.00011688683827518212,1.0,0.0002537157448215503,0.00018256471341743886,1.7766126254917392
mazed#4761,0.00011648325742342865,1.0,0.0002537157448215503,0.00018235485137452705,1.7745703712791405
michiel 🐙#0195,0.00011648325742342865,1.0,0.0002537157448215503,0.00018235485137452705,1.7745703712791405
shrutiappiah1,0.00011511657866170505,1.0,0.0002537157448215503,0.00018164417841843078,1.767654519235437
willszal#6405,0.00011478999595562609,1.0,0.0002537157448215503,0.00018147435541126971,1.7660019014158506
sweptbackcat#9656,0.00011359582014058965,1.0,0.0002537157448215503,0.00018085338398745077,1.7599589720294704
meedabyte,0.00010894585151702606,1.0,0.0002537157448215503,0.00017843540030319772,1.7364285741707424
kyle_stargarden,0.00010856785373662455,1.0,0.0002537157448215503,0.0001782388414573889,1.7345157788633734
christel#2333,0.00010822304043200254,1.0,0.0002537157448215503,0.00017805953853898548,1.7327709081122844
hernandoagf#3014,0.00010822304043200254,1.0,0.0002537157448215503,0.00017805953853898548,1.7327709081122844
zoushhoang#2376,0.00010728911216170574,1.0,0.0002537157448215503,0.00017757389583843115,1.7280449184227549
cyotee,0.00010542591642391865,1.0,0.0002537157448215503,0.00017660503405478184,1.7186165242661469
ajmaq,0.00010181990849612926,1.0,0.0002537157448215503,0.00017472990993233137,1.7003689170043188
francescovaub,0.00010104877181687225,1.0,0.0002537157448215503,0.00017432891885911772,1.6964667072615633
lalogarza,0.00010000735437763541,1.0,0.0002537157448215503,0.00017378738179071456,1.691196786394123
cannabiscommunitycare,9.822453185496897e-05,1.0,0.0002537157448215503,0.000172860314078928,1.682175107611763
aggre 🗾🗼 dev protocol#3446,9.696550803576336e-05,1.0,0.0002537157448215503,0.0001722056216929411,1.675804025615769
thales#8858,9.596608238457488e-05,1.0,0.0002537157448215503,0.0001716859203543231,1.6707465972530244
enti#1546,9.515397320389735e-05,1.0,0.0002537157448215503,0.00017126362358037077,1.6666370529371268
rod266#3161,9.515397320389735e-05,1.0,0.0002537157448215503,0.00017126362358037077,1.6666370529371268
dw#5584,9.515397320389735e-05,1.0,0.0002537157448215503,0.00017126362358037077,1.6666370529371268
deeptroop#4783,9.426189985575897e-05,1.0,0.0002537157448215503,0.0001707997454393388,1.6621228631650724
macerer,8.829384048141159e-05,1.0,0.0002537157448215503,0.00016769635456467818,1.6319224848633187
badjuju#1050,8.797971605884168e-05,1.0,0.0002537157448215503,0.00016753300986494183,1.6303329101288233
eeeit,8.605822715450775e-05,1.0,0.0002537157448215503,0.0001665338356346882,1.6206095330352681
leanne#9678,8.518242588967734e-05,1.0,0.0002537157448215503,0.00016607841897697638,1.6161776854519947
miles#9305,8.499529790039197e-05,1.0,0.0002537157448215503,0.000165981112422548,1.615230755183245
nirv#4850,8.334300645399384e-05,1.0,0.0002537157448215503,0.00016512192087042094,1.6068696073433857
sinsan#3757,8.228881398668834e-05,1.0,0.0002537157448215503,0.00016457374078742207,1.6015350405573494
marc#9662,8.206418838607763e-05,1.0,0.0002537157448215503,0.00016445693547510452,1.6003983598225935
🐙 misanth 🐙#7407,8.206418838607763e-05,1.0,0.0002537157448215503,0.00016445693547510452,1.6003983598225935
revxzx,8.153868939906086e-05,1.0,0.0002537157448215503,0.0001641836760018558,1.5977391590322476
caseyr#2795,8.0309266199831e-05,1.0,0.0002537157448215503,0.00016354437593825628,1.5915178660824345
dunks411 | adept camp#2178,8.0309266199831e-05,1.0,0.0002537157448215503,0.00016354437593825628,1.5915178660824345
keepitsane#8407,7.68324179536425e-05,1.0,0.0002537157448215503,0.00016173641485023825,1.5739238500470016
viken33,7.647573516784011e-05,1.0,0.0002537157448215503,0.00016155093980162102,1.5721189157477122
jakubgregus,7.238598431554952e-05,1.0,0.0002537157448215503,0.0001594242693584299,1.5514234073501265
graven#6675,7.045241061038511e-05,1.0,0.0002537157448215503,0.0001584188110317444,1.541638877118861
igorline,7.033666845153062e-05,1.0,0.0002537157448215503,0.00015835862510914006,1.541053183049212
edapt,7.006053242772736e-05,1.0,0.0002537157448215503,0.00015821503437676238,1.5396558423294724
nestor#8357,6.781294094843651e-05,1.0,0.0002537157448215503,0.00015704628680753113,1.528282277040537
davidking 🐝#0780,6.727609405863086e-05,1.0,0.0002537157448215503,0.0001567671264248322,1.5255656520632557
wright#9119,6.727609405863086e-05,1.0,0.0002537157448215503,0.0001567671264248322,1.5255656520632557
tomerba,6.727609405863086e-05,1.0,0.0002537157448215503,0.0001567671264248322,1.5255656520632557
dahlberry,6.727609405863086e-05,1.0,0.0002537157448215503,0.0001567671264248322,1.5255656520632557
arrow#5491,6.658613299596208e-05,1.0,0.0002537157448215503,0.00015640834667224443,1.5220742181147862
cryptainist,6.507758600450122e-05,1.0,0.0002537157448215503,0.00015562390223668477,1.5144404653368033
santosthegreat,6.435429712112084e-05,1.0,0.0002537157448215503,0.00015524779201732698,1.510780381458712
rad casale#6107,6.430715266556765e-05,1.0,0.0002537157448215503,0.00015522327690043933,1.510541814731535
tyler golato#5399,6.400711270408086e-05,1.0,0.0002537157448215503,0.0001550672561204662,1.5090235120850344
wunluv,6.370990033298026e-05,1.0,0.0002537157448215503,0.0001549127056874939,1.507519517992452
stan#3519,6.332128109301352e-05,1.0,0.0002537157448215503,0.00015471062368271118,1.5055529745440435
blockchainberlin,6.24681001947703e-05,1.0,0.0002537157448215503,0.0001542669696156247,1.5012355935880954
darren432,6.244504933613387e-05,1.0,0.0002537157448215503,0.00015425498316913377,1.5011189485268897
stefdelev#6019,6.244504933613387e-05,1.0,0.0002537157448215503,0.00015425498316913377,1.5011189485268897
monsterplayaus,6.175193619621894e-05,1.0,0.0002537157448215503,0.000153894564336378,1.4976115640123653
d8n1#8408,6.133821127250443e-05,1.0,0.0002537157448215503,0.00015367942737604646,1.4955179773998144
